"year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2018,1,"B6","JetBlue Airways","ABQ","Albuquerque, NM: Albuquerque International Sunport",19.00,1.00,0.38,0.00,0.00,0.00,0.62,1.00,0.00,52.00,20.00,0.00,0.00,0.00,32.00,
2018,1,"B6","JetBlue Airways","ALB","Albany, NY: Albany International",62.00,13.00,7.34,0.00,1.44,0.00,4.22,1.00,0.00,841.00,572.00,0.00,57.00,0.00,212.00,
2018,1,"B6","JetBlue Airways","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",147.00,41.00,16.73,0.79,12.53,0.07,10.88,8.00,1.00,2381.00,1283.00,85.00,437.00,2.00,574.00,
2018,1,"B6","JetBlue Airways","AUS","Austin, TX: Austin - Bergstrom International",186.00,55.00,23.77,1.89,13.70,0.32,15.32,7.00,0.00,4674.00,2204.00,275.00,560.00,41.00,1594.00,
2018,1,"B6","JetBlue Airways","BDL","Hartford, CT: Bradley International",313.00,92.00,47.47,2.07,11.75,0.00,30.71,17.00,1.00,6906.00,3608.00,311.00,463.00,0.00,2524.00,
2018,1,"B6","JetBlue Airways","BNA","Nashville, TN: Nashville International",91.00,18.00,9.07,0.00,5.00,0.00,3.93,10.00,0.00,1306.00,780.00,0.00,245.00,0.00,281.00,
2018,1,"B6","JetBlue Airways","BOS","Boston, MA: Logan International",4089.00,1174.00,324.23,16.46,295.19,3.12,535.01,331.00,3.00,87016.00,24391.00,1432.00,14650.00,182.00,46361.00,
2018,1,"B6","JetBlue Airways","BQN","Aguadilla, PR: Rafael Hernandez",89.00,36.00,21.47,0.14,3.96,0.00,10.43,8.00,1.00,1927.00,809.00,49.00,130.00,0.00,939.00,
2018,1,"B6","JetBlue Airways","BTV","Burlington, VT: Burlington International",110.00,25.00,11.49,0.77,4.03,0.00,8.71,14.00,0.00,3033.00,1306.00,127.00,276.00,0.00,1324.00,
2018,1,"B6","JetBlue Airways","BUF","Buffalo, NY: Buffalo Niagara International",345.00,94.00,37.77,5.78,14.06,0.00,36.40,31.00,0.00,7801.00,2193.00,1125.00,909.00,0.00,3574.00,
