DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_TIME,DEP_DELAY,CANCELLED,DIVERTED,DISTANCE
4,5,WN,ABQ,1537.0,62.0,0.0,0.0,486.0
28,1,HA,LIH,2253.0,-11.0,0.0,0.0,102.0
19,6,WN,TPA,1802.0,2.0,0.0,0.0,997.0
28,1,AA,SJU,1827.0,-3.0,0.0,0.0,1598.0
23,3,MQ,XNA,1053.0,-7.0,0.0,0.0,522.0
10,4,AS,SEA,1236.0,1.0,0.0,0.0,1721.0
6,7,XE,TYS,1402.0,-4.0,0.0,0.0,771.0
22,2,WN,MCO,826.0,-4.0,0.0,0.0,1142.0
30,3,DL,ATL,938.0,-4.0,0.0,0.0,591.0
27,7,WN,PVD,605.0,10.0,0.0,0.0,327.0
11,5,FL,BWI,2112.0,-3.0,0.0,0.0,406.0
27,7,CO,IAH,1908.0,-2.0,0.0,0.0,1075.0
23,3,WN,ELP,1459.0,-1.0,0.0,0.0,528.0
16,3,DL,ATL,1253.0,-4.0,0.0,0.0,432.0
8,2,CO,LGA,1535.0,60.0,0.0,0.0,1416.0
30,3,DL,PDX,1508.0,-7.0,0.0,0.0,1426.0
7,1,DL,SJU,939.0,-1.0,0.0,0.0,1547.0
23,3,CO,FLL,1239.0,4.0,0.0,0.0,1065.0
22,2,DL,DTW,847.0,-3.0,0.0,0.0,1956.0
12,6,WN,MKE,909.0,-6.0,0.0,0.0,436.0
27,7,WN,IND,1212.0,-3.0,0.0,0.0,837.0
12,6,UA,DEN,1503.0,-2.0,0.0,0.0,862.0
26,6,F9,DEN,1806.0,-9.0,0.0,0.0,1024.0
18,5,UA,SFO,1200.0,-1.0,0.0,0.0,967.0
9,3,AA,DFW,1523.0,-2.0,0.0,0.0,1235.0
2,3,MQ,DCA,557.0,-3.0,0.0,0.0,227.0
13,7,US,MSP,1107.0,-8.0,0.0,0.0,1276.0
29,2,OO,LAX,2256.0,-3.0,0.0,0.0,109.0
